"","Backwater","CollectionDate","PIT1","PIT2","Species","Sex","TL","WT","Status","Method","Month","Year","SizeClass","Event","Disposition","Recapture","LastScan","ScanHr","DateVerified","MaxDAL","MonthName"
"1","Yuma Cove backwater",2014-01-29,"003BA6406B",NA,"XYTE","F",360,445,"Backwater release","Not available",1,2014,2,"Stocking","Released","N",2024-09-04,19,2014-01-29,3871,"January"
"2","Yuma Cove backwater",2014-01-29,"003BA6409D",NA,"XYTE","F",360,495,"Backwater release","Not available",1,2014,2,"Stocking","Released","N",2024-09-02,20,2014-01-29,3869,"January"
"3","Yuma Cove backwater",2016-05-03,"003BA711AA",NA,"XYTE","U",480,975,"Backwater capture","Not available",5,2016,2,"Capture","Released","N",2024-05-14,7,2016-05-03,2933,"May"
"4","Yuma Cove backwater",2015-01-29,"003BCB8ACD",NA,"XYTE","F",435,835,"Backwater release","Not available",1,2015,2,"Stocking","Released","N",2024-08-28,4,2015-01-29,3499,"January"
"5","Yuma Cove backwater",2016-05-03,"003BCB950E",NA,"XYTE","F",440,745,"Backwater capture","Not available",5,2016,2,"Capture","Released","N",2024-06-12,6,2016-05-03,2962,"May"
"6","Yuma Cove backwater",2016-05-03,"003BCB9520",NA,"XYTE","F",430,770,"Backwater capture","Not available",5,2016,2,"Capture","Released","N",2024-08-14,18,2016-05-03,3025,"May"
"7","Yuma Cove backwater",2016-05-03,"003BCB9528",NA,"XYTE","M",450,885,"Backwater capture","Not available",5,2016,2,"Capture","Released","N",2024-07-11,5,2016-05-03,2991,"May"
"8","Yuma Cove backwater",2016-05-03,"003BCB9533",NA,"XYTE","M",450,825,"Backwater capture","Not available",5,2016,2,"Capture","Released","N",2024-08-15,9,2016-05-03,3026,"May"
"9","Yuma Cove backwater",2016-05-03,"003BCB953A",NA,"XYTE","F",455,905,"Backwater capture","Not available",5,2016,2,"Capture","Released","N",2024-08-12,5,2016-05-03,3023,"May"
"10","Yuma Cove backwater",2016-05-03,"003BCB9541",NA,"XYTE","F",470,960,"Backwater capture","Not available",5,2016,2,"Capture","Released","N",2024-05-25,7,2016-05-03,2944,"May"
"11","Yuma Cove backwater",2016-05-03,"003BCB9547",NA,"XYTE","M",400,585,"Backwater capture","Not available",5,2016,2,"Capture","Released","N",2024-05-11,8,2016-05-03,2930,"May"
"12","Yuma Cove backwater",2016-05-03,"003BCB9562",NA,"XYTE","F",475,1035,"Backwater capture","Not available",5,2016,2,"Capture","Released","N",2024-08-28,4,2016-05-03,3039,"May"
"13","Yuma Cove backwater",2015-05-14,"003BCC0399",NA,"XYTE","U",412,670,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-31,5,2015-05-14,3397,"May"
"14","Yuma Cove backwater",2015-05-14,"003BCC039D",NA,"XYTE","U",415,795,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-07-16,22,2015-05-14,3351,"May"
"15","Yuma Cove backwater",2015-05-14,"003BCC039F",NA,"XYTE","U",409,655,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-30,10,2015-05-14,3396,"May"
"16","Yuma Cove backwater",2015-05-14,"003BCC03A1",NA,"XYTE","U",427,805,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-21,4,2015-05-14,3387,"May"
"17","Yuma Cove backwater",2015-05-14,"003BCC03A4",NA,"XYTE","U",403,665,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-23,20,2015-05-14,3389,"May"
"18","Yuma Cove backwater",2015-05-14,"003BCC03A5",NA,"XYTE","U",445,865,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-05-20,5,2015-05-14,3294,"May"
"19","Yuma Cove backwater",2015-05-14,"003BCC03A9",NA,"XYTE","U",404,660,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-09-05,6,2015-05-14,3402,"May"
"20","Yuma Cove backwater",2015-05-14,"003BCC03AE",NA,"XYTE","U",442,790,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-09-03,6,2015-05-14,3400,"May"
"21","Yuma Cove backwater",2015-05-14,"003BCC03B2",NA,"XYTE","U",425,780,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-28,21,2015-05-14,3394,"May"
"22","Yuma Cove backwater",2015-05-14,"003BCC03B4",NA,"XYTE","U",400,720,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-24,9,2015-05-14,3390,"May"
"23","Yuma Cove backwater",2015-05-14,"003BCC03BC",NA,"XYTE","U",433,885,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-09-04,10,2015-05-14,3401,"May"
"24","Yuma Cove backwater",2015-05-14,"003BCC03BD",NA,"XYTE","U",410,670,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-09-03,20,2015-05-14,3400,"May"
"25","Yuma Cove backwater",2015-05-14,"003BCC03BE",NA,"XYTE","U",425,810,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-09-04,20,2015-05-14,3401,"May"
"26","Yuma Cove backwater",2015-05-14,"003BCC03BF",NA,"XYTE","U",445,890,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-22,3,2015-05-14,3388,"May"
"27","Yuma Cove backwater",2015-05-14,"003BCC03C2",NA,"XYTE","U",425,760,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-31,5,2015-05-14,3397,"May"
"28","Yuma Cove backwater",2015-05-14,"003BCC03C8",NA,"XYTE","U",422,795,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-09-02,6,2015-05-14,3399,"May"
"29","Yuma Cove backwater",2015-05-14,"003BCC03CA",NA,"XYTE","U",416,735,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-26,9,2015-05-14,3392,"May"
"30","Yuma Cove backwater",2015-05-14,"003BCC03D0",NA,"XYTE","U",420,810,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-09-03,20,2015-05-14,3400,"May"
"31","Yuma Cove backwater",2015-05-14,"003BCC03D4",NA,"XYTE","U",411,680,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-02,10,2015-05-14,3368,"May"
"32","Yuma Cove backwater",2015-05-14,"003BCC03DA",NA,"XYTE","U",435,905,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-12,8,2015-05-14,3378,"May"
"33","Yuma Cove backwater",2015-05-14,"003BCC03DD",NA,"XYTE","U",435,885,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-10,3,2015-05-14,3376,"May"
"34","Yuma Cove backwater",2015-05-14,"003BCC03E0",NA,"XYTE","U",431,965,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-28,2,2015-05-14,3394,"May"
"35","Yuma Cove backwater",2015-05-14,"003BCC03E2",NA,"XYTE","U",530,1710,"Backwater capture","Not available",5,2015,3,"Capture","Released","N",2024-08-26,7,2015-05-14,3392,"May"
"36","Yuma Cove backwater",2015-05-14,"003BCC03EC",NA,"XYTE","U",434,760,"Backwater capture","Not available",5,2015,2,"Capture","Released","N",2024-08-27,7,2015-05-14,3393,"May"
