"","Backwater","CollectionDate","PIT1","PIT2","Species","Sex","TL","WT","Status","Method","Month","Year","SizeClass","Event","Disposition","Recapture","LastScan","ScanHr","DateVerified","MaxDAL","MonthName"
"1","Yuma Cove backwater",2023-11-14,"003E21D098",NA,"XYTE","J",105,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-29,10,2023-11-14,289,"November"
"2","Yuma Cove backwater",2023-11-14,"003E21D0B4",NA,"XYTE","J",91,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-09,18,2023-11-14,269,"November"
"3","Yuma Cove backwater",2023-11-14,"003E21D0C1",NA,"XYTE","J",140,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-05,4,2023-11-14,296,"November"
"4","Yuma Cove backwater",2023-11-14,"003E21D0D4",NA,"XYTE","J",113,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-14,13,2023-11-14,274,"November"
"5","Yuma Cove backwater",2023-11-14,"003E21D0DB",NA,"XYTE","J",108,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-01,11,2023-11-14,292,"November"
"6","Yuma Cove backwater",2023-11-14,"003E21D0DC",NA,"XYTE","J",108,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-02,8,2023-11-14,293,"November"
"7","Yuma Cove backwater",2023-11-14,"003E21D47E",NA,"XYTE","J",501,1090,"Backwater capture","Hoop net",11,2023,3,"Capture","Released","N",2024-08-23,8,2023-11-14,283,"November"
"8","Yuma Cove backwater",2023-11-14,"003E21D487",NA,"XYTE","J",132,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-18,11,2023-11-14,278,"November"
"9","Yuma Cove backwater",2023-11-14,"003E21D489",NA,"XYTE","F",496,NA,"Backwater capture","Hoop net",11,2023,3,"Capture","Released","N",2024-09-01,8,2023-11-14,292,"November"
"10","Yuma Cove backwater",2023-11-14,"003E21D493",NA,"XYTE","J",274,175,"Backwater capture","Hoop net",11,2023,2,"Capture","Released","N",2024-09-05,3,2023-11-14,296,"November"
"11","Yuma Cove backwater",2023-11-14,"003E21D4A0",NA,"XYTE","J",102,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-03,20,2023-11-14,263,"November"
"12","Yuma Cove backwater",2023-11-14,"003E21D4A8",NA,"XYTE","J",321,260,"Backwater capture","Hoop net",11,2023,2,"Capture","Released","N",2024-09-04,1,2023-11-14,295,"November"
"13","Yuma Cove backwater",2023-11-14,"003E21D4AB",NA,"XYTE","J",124,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-04,14,2023-11-14,295,"November"
"14","Yuma Cove backwater",2023-11-14,"003E21D8BD",NA,"XYTE","F",536,1710,"Backwater capture","Trammel",11,2023,3,"Capture","Released","N",2024-08-29,21,2023-11-14,289,"November"
"15","Yuma Cove backwater",2023-11-14,"003E21D8C2",NA,"XYTE","J",138,20,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-27,9,2023-11-14,287,"November"
"16","Yuma Cove backwater",2023-11-14,"003E21D8CA",NA,"XYTE","J",144,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-05,3,2023-11-14,296,"November"
"17","Yuma Cove backwater",2023-11-14,"003E21D8D4",NA,"XYTE","J",112,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-09-04,10,2023-11-14,295,"November"
"18","Yuma Cove backwater",2023-11-14,"003E21D8D5",NA,"XYTE","J",332,300,"Backwater capture","Trammel",11,2023,2,"Capture","Released","N",2024-07-27,10,2023-11-14,256,"November"
"19","Yuma Cove backwater",2023-11-14,"003E21D8DD",NA,"XYTE","M",470,930,"Backwater capture","Trammel",11,2023,3,"Capture","Released","N",2024-09-04,6,2023-11-14,295,"November"
"20","Yuma Cove backwater",2023-11-14,"003E21D8DE",NA,"XYTE","J",321,295,"Backwater capture","Trammel",11,2023,2,"Capture","Released","N",2024-08-22,21,2023-11-14,282,"November"
"21","Yuma Cove backwater",2023-11-14,"003E21D8EA",NA,"XYTE","J",138,NA,"Backwater capture","Hoop net",11,2023,1,"Capture","Released","N",2024-08-24,21,2023-11-14,284,"November"
"22","Yuma Cove backwater",2023-11-14,"003E21D8ED",NA,"XYTE","J",264,160,"Backwater capture","Trammel",11,2023,2,"Capture","Released","N",2024-09-04,19,2023-11-14,295,"November"
"23","Yuma Cove backwater",2023-11-14,"003E21D8EF",NA,"XYTE","J",336,335,"Backwater capture","Trammel",11,2023,2,"Capture","Released","N",2024-09-01,8,2023-11-14,292,"November"
"24","Yuma Cove backwater",2023-11-14,"003E21D8F9",NA,"XYTE","J",338,315,"Backwater capture","Trammel",11,2023,2,"Capture","Released","N",2024-08-30,4,2023-11-14,290,"November"
"25","Yuma Cove backwater",2023-11-14,"003E21D903",NA,"XYTE","J",317,245,"Backwater capture","Trammel",11,2023,2,"Capture","Released","N",2024-09-01,7,2023-11-14,292,"November"
"26","Yuma Cove backwater",2023-11-14,"003E21D907",NA,"XYTE","J",306,245,"Backwater capture","Trammel",11,2023,2,"Capture","Released","N",2024-09-04,16,2023-11-14,295,"November"
"27","Yuma Cove backwater",2023-11-14,"003E21D920",NA,"XYTE","J",359,415,"Backwater capture","Trammel",11,2023,3,"Capture","Released","N",2024-08-31,9,2023-11-14,291,"November"
